image,true_class,simple_rosa_canina,simple_rosa_damascena,simple_rosa_multiflora,simple_predicted,descriptive_rosa_canina,descriptive_rosa_damascena,descriptive_rosa_multiflora,descriptive_predicted,scientific_rosa_canina,scientific_rosa_damascena,scientific_rosa_multiflora,scientific_predicted,contextual_rosa_canina,contextual_rosa_damascena,contextual_rosa_multiflora,contextual_predicted,ensemble_rosa_canina,ensemble_rosa_damascena,ensemble_rosa_multiflora,ensemble_predicted
large (1).jpg,rosa_canina,0.4206,0.0118,0.5676,rosa_multiflora,0.7279,0.0002,0.2719,rosa_canina,0.3786,0.0149,0.6064,rosa_multiflora,0.8934,0.0236,0.083,rosa_canina,0.7776,0.0017,0.2207,rosa_canina
large (2).jpg,rosa_canina,0.2436,0.0182,0.7382,rosa_multiflora,0.5996,0.0007,0.3996,rosa_canina,0.4372,0.1039,0.4589,rosa_multiflora,0.8869,0.0056,0.1075,rosa_canina,0.7102,0.0033,0.2864,rosa_canina
large (3).jpg,rosa_canina,0.7645,0.0085,0.2269,rosa_canina,0.4858,0.0002,0.514,rosa_multiflora,0.5631,0.0196,0.4173,rosa_canina,0.7174,0.0124,0.2702,rosa_canina,0.765,0.0013,0.2337,rosa_canina
large (4).jpg,rosa_canina,0.4237,0.0385,0.5377,rosa_multiflora,0.6792,0.0003,0.3205,rosa_canina,0.722,0.1112,0.1668,rosa_canina,0.8727,0.0455,0.0818,rosa_canina,0.851,0.0045,0.1444,rosa_canina
large (5).jpg,rosa_canina,0.212,0.0149,0.7731,rosa_multiflora,0.221,0.0005,0.7786,rosa_multiflora,0.5069,0.0101,0.4829,rosa_canina,0.1557,0.0135,0.8308,rosa_multiflora,0.3447,0.0021,0.6531,rosa_multiflora
large (6).jpg,rosa_canina,0.4977,0.0102,0.4921,rosa_canina,0.9138,0.0009,0.0853,rosa_canina,0.7443,0.0091,0.2466,rosa_canina,0.938,0.002,0.0601,rosa_canina,0.9033,0.0009,0.0957,rosa_canina
large (7).jpg,rosa_canina,0.5754,0.012,0.4126,rosa_canina,0.2973,0.0002,0.7025,rosa_multiflora,0.402,0.0694,0.5286,rosa_multiflora,0.9874,0.0023,0.0103,rosa_canina,0.8285,0.0015,0.17,rosa_canina
large (8).jpg,rosa_canina,0.6529,0.0168,0.3303,rosa_canina,0.0632,0.0001,0.9366,rosa_multiflora,0.3526,0.1087,0.5387,rosa_multiflora,0.8941,0.0066,0.0993,rosa_canina,0.6162,0.0027,0.381,rosa_canina
large (9).jpg,rosa_canina,0.4673,0.0305,0.5022,rosa_multiflora,0.3453,0.0002,0.6545,rosa_multiflora,0.4585,0.0095,0.532,rosa_multiflora,0.8925,0.0075,0.1,rosa_canina,0.7123,0.0015,0.2863,rosa_canina
large.jpg,rosa_canina,0.1428,0.0227,0.8345,rosa_multiflora,0.8886,0.0007,0.1107,rosa_canina,0.1773,0.1068,0.7158,rosa_multiflora,0.9446,0.0025,0.053,rosa_canina,0.7308,0.0039,0.2653,rosa_canina
large (1).jpeg,rosa_damascena,0.1936,0.4952,0.3112,rosa_damascena,0.7135,0.2835,0.003,rosa_canina,0.2971,0.6974,0.0055,rosa_damascena,0.2093,0.5711,0.2197,rosa_damascena,0.6336,0.3336,0.0328,rosa_canina
large (1).jpg,rosa_damascena,0.1214,0.6473,0.2312,rosa_damascena,0.4342,0.3251,0.2407,rosa_canina,0.1503,0.8357,0.014,rosa_damascena,0.0039,0.9607,0.0354,rosa_damascena,0.1989,0.6841,0.117,rosa_damascena
large (10).jpg,rosa_damascena,0.1009,0.7453,0.1538,rosa_damascena,0.3085,0.6785,0.013,rosa_damascena,0.223,0.771,0.006,rosa_damascena,0.0018,0.947,0.0512,rosa_damascena,0.1416,0.8191,0.0393,rosa_damascena
large (2).jpeg,rosa_damascena,0.124,0.3021,0.5739,rosa_multiflora,0.9241,0.0631,0.0129,rosa_canina,0.3287,0.6487,0.0227,rosa_damascena,0.1541,0.48,0.3659,rosa_damascena,0.6723,0.214,0.1136,rosa_canina
